BubbleSort;QuickSort;InsertionSort;ShellSort;Misto;std::sort
59515;22334;11618;11356;7059;6700
59683;22582;11580;11360;7060;6803
58430;23712;11432;11470;7045;6648
58859;23640;11448;11490;7077;6700
61043;24518;13012;12048;7703;6970
61294;24707;12923;12300;7687;7076
61679;23829;11755;12070;7300;6795
61843;23753;12003;11870;7348;6952
65470;26812;13080;12578;7381;6819
66082;26819;13213;12604;7376;6987
67646;24312;12172;11816;7364;6897
67893;24445;12237;11839;7357;7033
67297;24151;12482;12670;7943;6841
67956;24286;12601;12669;7959;6945
66762;24023;13098;12862;8267;8328
67175;24304;13120;12953;8329;8461
74457;24836;12909;12325;7993;7019
74997;24992;12996;12547;7996;7096
67358;26787;14795;14442;8422;7062
67863;27719;14958;14520;8280;7219
73650;25950;13436;12627;8276;8184
74061;25879;13475;12691;8497;8145
68826;25026;13418;13317;8120;7539
69442;25239;13523;13553;8165;7770
73072;24173;13865;13266;7756;7179
73762;24363;14034;13205;7869;7331
71092;25601;13981;13150;8322;7643
71582;25567;14008;13276;8369;7650
74527;23849;14291;13400;8367;7460
75146;24020;14489;13487;8312;7613
73503;24729;14311;13535;8340;7624
73837;24790;14398;13480;8321;7782
69823;26683;15320;14234;7911;8432
69849;26875;15335;14371;7915;8448
75116;27154;15003;13446;9121;8191
75602;27310;15071;13544;9290;8133
76741;24634;15131;14052;8135;7507
76830;24815;15117;14206;8114;7579
76746;23838;14863;13403;8164;9437
77123;24223;14975;13595;8580;9402
80560;27334;17202;13898;9349;7901
80811;27566;17177;14021;9105;8058
74981;28229;14911;13507;8229;7803
75358;28175;14965;13533;8284;7885
78708;27642;15781;16985;9917;8221
78480;27889;15973;16975;9794;8179
75801;26835;15741;14711;8486;8034
76055;26875;15709;14718;8474;8074
76055;27552;15715;15553;9097;8024
76201;27445;15781;15658;9084;8044
82870;29390;15977;15433;10029;8556
83349;29010;16004;15584;10049;8771
87292;29193;16545;15260;9116;8516
87608;29016;16533;15323;9319;8623
82214;25814;16152;15005;8665;8789
86703;25804;15905;15154;8671;9212
86300;27924;17961;15320;9012;9757
86750;27960;17974;15341;9079;9883
83970;28772;16640;15778;9330;9331
84507;28820;16684;15918;9471;9295
82319;27353;17456;15700;9381;8585
82478;27122;17468;15733;9379;8669
84757;28799;16634;15162;8980;9264
85248;34014;16940;15255;9688;9250
84119;28320;17158;15425;9489;8640
84279;28750;17187;15463;9522;8788
88816;31325;17144;14902;8937;8498
89351;31552;17182;14950;8927;8616
87544;29204;17635;15681;9472;8882
87728;29236;17778;15663;9520;8949
95994;29634;18608;16709;9813;9119
96461;29325;18584;16752;9854;9251
91333;31346;18800;16076;9654;10141
92038;36605;18822;16088;10022;9953
92441;29401;18156;16059;9490;9185
92340;29505;18179;16056;9573;9198
